window_id,packet_count,total_bytes,duration,size_mean,size_std,size_min,size_max,size_median,size_q25,size_q75,iat_mean,iat_std,iat_min,iat_max,iat_median,ratio_dot11,ratio_ip,ratio_tcp,ratio_udp,ratio_ether,dot11_mgmt_ratio,dot11_ctrl_ratio,dot11_data_ratio,dot11_retry_ratio,ip_len_mean,ip_ttl_mean,ip_proto_variety,tcp_port_variety,tcp_flags_variety,tcp_window_mean,rssi_mean,rssi_std,rssi_min,rssi_max,window_start,window_end,label,filename
24,131,54676,1.9099719524383545,417.37404580152673,503.8513721002969,42.0,1466.0,105.0,75.0,825.5,0.015881016606190165,0.0539673233326904,9.5367431640625e-07,0.42336487770080566,0.0004094839096069336,0.0,0.9694656488549618,0.16793893129770993,0.7938931297709924,0.9923664122137404,0.0,0.0,0.0,0.0,415.11811023622045,62.14173228346457,3.0,4.0,2.0,555.0909090909091,0.0,0.0,0.0,0.0,1760652203.291311,1760652205.291311,0,normal_20251016_170234.pcap
25,710,774723,1.738732099533081,1091.1591549295774,448.3528591863864,52.0,1292.0,1292.0,1292.0,1292.0,0.0027458048076881712,0.019728908408820658,9.5367431640625e-07,0.34751296043395996,1.4066696166992188e-05,0.0,0.9985915492957746,0.0,0.9985915492957746,0.9985915492957746,0.0,0.0,0.0,0.0,1078.6248236953456,105.25105782792666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652205.291311,1760652207.291311,0,normal_20251016_170234.pcap
26,4,1037,1.2290289402008057,259.25,255.9314686916532,52.0,633.0,176.0,145.0,290.25,0.4123702049255371,0.38354884546926526,0.0002608299255371094,0.9224510192871094,0.363384485244751,0.0,0.5,0.0,0.5,0.75,0.0,0.0,0.0,0.0,162.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652207.291311,1760652209.291311,0,normal_20251016_170234.pcap
27,592,673117,1.1749529838562012,1137.0219594594594,403.10901464685315,52.0,1292.0,1292.0,1292.0,1292.0,0.0035473654919671127,0.04380138138264145,9.5367431640625e-07,0.9215400218963623,2.384185791015625e-05,0.0,0.9983108108108109,0.0,0.9983108108108109,0.9983108108108109,0.0,0.0,0.0,0.0,1124.8578680203045,113.60236886632826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652209.291311,1760652211.291311,0,normal_20251016_170234.pcap
28,10,860,0.9217019081115723,86.0,47.64684902721503,52.0,176.0,66.0,66.0,66.0,0.18970210552215577,0.3337407061087791,5.0067901611328125e-06,0.9753191471099854,0.005085587501525879,0.0,0.8,0.6,0.2,0.9,0.0,0.0,0.0,0.0,79.5,76.875,2.0,4.0,1.0,431.6666666666667,0.0,0.0,0.0,0.0,1760652211.291311,1760652213.291311,0,normal_20251016_170234.pcap
29,15,2840,1.537261962890625,189.33333333333334,313.2665835689348,52.0,1287.0,75.0,66.0,149.0,0.17562685694013322,0.248904671471319,9.5367431640625e-07,0.9215140342712402,0.06955313682556152,0.0,0.8666666666666667,0.13333333333333333,0.7333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,195.84615384615384,65.0,2.0,2.0,1.0,561.0,0.0,0.0,0.0,0.0,1760652213.291311,1760652215.291311,0,normal_20251016_170234.pcap
30,278,303318,1.374964952468872,1091.071942446043,448.69860982515854,42.0,1292.0,1292.0,1292.0,1292.0,0.0057270820461102386,0.041593451024632425,9.5367431640625e-07,0.4248220920562744,2.3126602172851562e-05,0.0,0.9928057553956835,0.0,0.9928057553956835,0.9964028776978417,0.0,0.0,0.0,0.0,1084.6376811594203,111.47463768115942,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652215.291311,1760652217.291311,0,normal_20251016_170234.pcap
31,8,1040,1.228816032409668,130.0,70.7005758715686,52.0,213.0,127.0,66.0,185.25,0.26879262924194336,0.3879548338595662,9.608268737792969e-05,0.9215250015258789,0.06765198707580566,0.0,0.875,0.25,0.625,0.875,0.0,0.0,0.0,0.0,127.14285714285714,90.14285714285714,2.0,2.0,1.0,179.5,0.0,0.0,0.0,0.0,1760652217.291311,1760652219.291311,0,normal_20251016_170234.pcap
32,126,30279,1.383134126663208,240.3095238095238,410.0098625991468,50.0,2179.0,90.0,66.0,146.5,0.016244967778523762,0.05937356852893136,9.5367431640625e-07,0.6149969100952148,0.0005540847778320312,0.0,0.9841269841269841,0.6428571428571429,0.3333333333333333,0.9920634920634921,0.0,0.0,0.0,0.0,224.66129032258064,58.95967741935484,3.0,5.0,6.0,3396.8271604938273,0.0,0.0,0.0,0.0,1760652219.291311,1760652221.291311,0,normal_20251016_170234.pcap
33,4,458,0.9217720031738281,114.5,71.01877685983241,52.0,176.0,115.0,53.5,176.0,0.4989140033721924,0.41909979362288674,0.09963297843933105,1.0738840103149414,0.41106951236724854,0.0,0.75,0.0,0.5,0.75,0.0,0.0,0.0,0.0,121.33333333333333,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760652221.291311,1760652223.291311,0,normal_20251016_170234.pcap
